,county,date,month,2.9%tax,year,total_revenue
348,Denver,6-01-2016,6,533148,2016,18384413.7931
349,Eagle,6-01-2016,6,5159,2016,177896.551724
350,El Paso,6-01-2016,6,231702,2016,7989724.13793
351,Fremont,6-01-2016,6,6249,2016,215482.758621
352,Garfield,6-01-2016,6,12233,2016,421827.586207
353,Jefferson,6-01-2016,6,48524,2016,1673241.37931
354,La Plata,6-01-2016,6,12367,2016,426448.275862
355,Larimer,6-01-2016,6,27483,2016,947689.655172
356,Montezuma,6-01-2016,6,2693,2016,92862.0689655
357,Pitkin,6-01-2016,6,3669,2016,126517.241379
358,Pueblo,6-01-2016,6,22110,2016,762413.793103
359,Routt,6-01-2016,6,3988,2016,137517.241379
360,San Miguel,6-01-2016,6,1100,2016,37931.0344828
361,Summit,6-01-2016,6,4300,2016,148275.862069
362,Weld,6-01-2016,6,8446,2016,291241.37931
363,Other Counties,6-01-2016,6,18177,2016,626793.103448
364,Adams,7-01-2014,7,12684,2014,437379.310345
365,Arapahoe,7-01-2014,7,31401,2014,1082793.10345
366,Boulder,7-01-2014,7,71626,2014,2469862.06897
367,Chaffee,7-01-2014,7,4228,2014,145793.103448
368,Clear Creek,7-01-2014,7,3050,2014,105172.413793
369,Denver,7-01-2014,7,376061,2014,12967620.6897
370,Eagle,7-01-2014,7,3377,2014,116448.275862
371,El Paso,7-01-2014,7,168736,2014,5818482.75862
372,Fremont,7-01-2014,7,7310,2014,252068.965517
373,Garfield,7-01-2014,7,11816,2014,407448.275862
374,Gilpin,7-01-2014,7,964,2014,33241.3793103
375,Jefferson,7-01-2014,7,46348,2014,1598206.89655
376,La Plata,7-01-2014,7,16929,2014,583758.62069
377,Larimer,7-01-2014,7,29607,2014,1020931.03448
378,Montezuma,7-01-2014,7,3354,2014,115655.172414
379,Pitkin,7-01-2014,7,4435,2014,152931.034483
380,Pueblo,7-01-2014,7,16490,2014,568620.689655
381,San Miguel,7-01-2014,7,1823,2014,62862.0689655
382,Summit,7-01-2014,7,5149,2014,177551.724138
383,Weld,7-01-2014,7,9092,2014,313517.241379
384,Other Counties,7-01-2014,7,14232,2014,490758.62069
385,Adams,7-01-2015,7,11247,2015,387827.586207
386,Arapahoe,7-01-2015,7,42537,2015,1466793.10345
387,Boulder,7-01-2015,7,85442,2015,2946275.86207
388,Clear Creek,7-01-2015,7,5431,2015,187275.862069
389,Denver,7-01-2015,7,518868,2015,17892000.0
390,Eagle,7-01-2015,7,10580,2015,364827.586207
391,El Paso,7-01-2015,7,233749,2015,8060310.34483
392,Fremont,7-01-2015,7,7610,2015,262413.793103
393,Garfield,7-01-2015,7,13010,2015,448620.689655
394,Jefferson,7-01-2015,7,62487,2015,2154724.13793
395,La Plata,7-01-2015,7,13626,2015,469862.068966
396,Larimer,7-01-2015,7,37648,2015,1298206.89655
397,Montezuma,7-01-2015,7,3785,2015,130517.241379
398,Pitkin,7-01-2015,7,4720,2015,162758.62069
399,Pueblo,7-01-2015,7,22247,2015,767137.931034
400,Routt,7-01-2015,7,5217,2015,179896.551724
401,San Miguel,7-01-2015,7,1438,2015,49586.2068966
402,Summit,7-01-2015,7,7079,2015,244103.448276
403,Weld,7-01-2015,7,10217,2015,352310.344828
404,Other Counties,7-01-2015,7,19576,2015,675034.482759
405,Adams,7-01-2016,7,11436,2016,394344.827586
406,Arapahoe,7-01-2016,7,43337,2016,1494379.31034
407,Boulder,7-01-2016,7,65391,2016,2254862.06897
408,Clear Creek,7-01-2016,7,1939,2016,66862.0689655
409,Denver,7-01-2016,7,541784,2016,18682206.8966
410,Eagle,7-01-2016,7,5229,2016,180310.344828
411,El Paso,7-01-2016,7,240225,2016,8283620.68966
412,Fremont,7-01-2016,7,6442,2016,222137.931034
413,Garfield,7-01-2016,7,12101,2016,417275.862069
414,Jefferson,7-01-2016,7,46395,2016,1599827.58621
415,La Plata,7-01-2016,7,11781,2016,406241.37931
416,Larimer,7-01-2016,7,35770,2016,1233448.27586
417,Montezuma,7-01-2016,7,2907,2016,100241.37931
418,Pitkin,7-01-2016,7,-484,2016,-16689.6551724
419,Pueblo,7-01-2016,7,25958,2016,895103.448276
420,Routt,7-01-2016,7,4537,2016,156448.275862
421,San Miguel,7-01-2016,7,1227,2016,42310.3448276
422,Summit,7-01-2016,7,4772,2016,164551.724138
423,Weld,7-01-2016,7,9284,2016,320137.931034
424,Other Counties,7-01-2016,7,19267,2016,664379.310345
425,Adams,8-01-2014,8,13510,2014,465862.068966
426,Arapahoe,8-01-2014,8,32668,2014,1126482.75862
427,Boulder,8-01-2014,8,79049,2014,2725827.58621
428,Chaffee,8-01-2014,8,2607,2014,89896.5517241
429,Clear Creek,8-01-2014,8,2886,2014,99517.2413793
430,Denver,8-01-2014,8,434878,2014,14995793.1034
431,Eagle,8-01-2014,8,6685,2014,230517.241379
432,El Paso,8-01-2014,8,177673,2014,6126655.17241
433,Fremont,8-01-2014,8,6973,2014,240448.275862
434,Garfield,8-01-2014,8,14370,2014,495517.241379
435,Gilpin,8-01-2014,8,1179,2014,40655.1724138
436,Jefferson,8-01-2014,8,52806,2014,1820896.55172
437,La Plata,8-01-2014,8,16366,2014,564344.827586
438,Larimer,8-01-2014,8,32046,2014,1105034.48276
439,Montezuma,8-01-2014,8,3669,2014,126517.241379
440,Pitkin,8-01-2014,8,3356,2014,115724.137931
441,Pueblo,8-01-2014,8,11639,2014,401344.827586
442,Routt,8-01-2014,8,10693,2014,368724.137931
443,San Miguel,8-01-2014,8,1299,2014,44793.1034483
444,Summit,8-01-2014,8,4790,2014,165172.413793
445,Weld,8-01-2014,8,7631,2014,263137.931034
446,Other Counties,8-01-2014,8,19034,2014,656344.827586
447,Adams,8-01-2015,8,12066,2015,416068.965517
448,Arapahoe,8-01-2015,8,50269,2015,1733413.7931
449,Boulder,8-01-2015,8,76606,2015,2641586.2069
450,Clear Creek,8-01-2015,8,3498,2015,120620.689655
451,Denver,8-01-2015,8,554013,2015,19103896.5517
452,Eagle,8-01-2015,8,9619,2015,331689.655172
453,El Paso,8-01-2015,8,254156,2015,8764000.0
454,Fremont,8-01-2015,8,7227,2015,249206.896552
455,Garfield,8-01-2015,8,19390,2015,668620.689655
456,Gilpin,8-01-2015,8,2002,2015,69034.4827586
457,Jefferson,8-01-2015,8,54043,2015,1863551.72414
458,La Plata,8-01-2015,8,13036,2015,449517.241379
459,Larimer,8-01-2015,8,40572,2015,1399034.48276
460,Montezuma,8-01-2015,8,4197,2015,144724.137931
461,Pitkin,8-01-2015,8,1052,2015,36275.862069
462,Pueblo,8-01-2015,8,16188,2015,558206.896552
463,Routt,8-01-2015,8,5550,2015,191379.310345
464,San Miguel,8-01-2015,8,1363,2015,47000.0
465,Summit,8-01-2015,8,6649,2015,229275.862069
466,Weld,8-01-2015,8,12032,2015,414896.551724
467,Other Counties,8-01-2015,8,17603,2015,607000.0
468,Adams,8-01-2016,8,14137,2016,487482.758621
469,Arapahoe,8-01-2016,8,35593,2016,1227344.82759
470,Boulder,8-01-2016,8,65305,2016,2251896.55172
471,Clear Creek,8-01-2016,8,1622,2016,55931.0344828
472,Denver,8-01-2016,8,593786,2016,20475379.3103
473,Eagle,8-01-2016,8,7644,2016,263586.206897
474,El Paso,8-01-2016,8,256397,2016,8841275.86207
475,Fremont,8-01-2016,8,6898,2016,237862.068966
476,Garfield,8-01-2016,8,11795,2016,406724.137931
477,Jefferson,8-01-2016,8,48918,2016,1686827.58621
478,La Plata,8-01-2016,8,12824,2016,442206.896552
479,Larimer,8-01-2016,8,36572,2016,1261103.44828
480,Montezuma,8-01-2016,8,1467,2016,50586.2068966
481,Pitkin,8-01-2016,8,4093,2016,141137.931034
482,Pueblo,8-01-2016,8,24628,2016,849241.37931
483,Routt,8-01-2016,8,4811,2016,165896.551724
484,San Miguel,8-01-2016,8,1331,2016,45896.5517241
485,Summit,8-01-2016,8,4642,2016,160068.965517
486,Weld,8-01-2016,8,9473,2016,326655.172414
487,Other Counties,8-01-2016,8,18826,2016,649172.413793
488,Adams,9-01-2014,9,12759,2014,439965.517241
489,Arapahoe,9-01-2014,9,28941,2014,997965.517241
490,Boulder,9-01-2014,9,84153,2014,2901827.58621
491,Clear Creek,9-01-2014,9,2880,2014,99310.3448276
492,Denver,9-01-2014,9,420245,2014,14491206.8966
493,Eagle,9-01-2014,9,1551,2014,53482.7586207
494,El Paso,9-01-2014,9,170037,2014,5863344.82759
495,Fremont,9-01-2014,9,7602,2014,262137.931034
496,Garfield,9-01-2014,9,16510,2014,569310.344828
497,Gilpin,9-01-2014,9,1105,2014,38103.4482759
498,Jefferson,9-01-2014,9,51577,2014,1778517.24138
499,La Plata,9-01-2014,9,19256,2014,664000.0
500,Larimer,9-01-2014,9,35881,2014,1237275.86207
501,Montezuma,9-01-2014,9,3497,2014,120586.206897
502,Pitkin,9-01-2014,9,3177,2014,109551.724138
503,Pueblo,9-01-2014,9,7051,2014,243137.931034
504,Routt,9-01-2014,9,5495,2014,189482.758621
505,San Miguel,9-01-2014,9,1423,2014,49068.9655172
506,Summit,9-01-2014,9,6128,2014,211310.344828
507,Weld,9-01-2014,9,8152,2014,281103.448276
508,Other Counties,9-01-2014,9,21210,2014,731379.310345
509,Adams,9-01-2015,9,11809,2015,407206.896552
510,Arapahoe,9-01-2015,9,59447,2015,2049896.55172
511,Boulder,9-01-2015,9,82097,2015,2830931.03448
512,Clear Creek,9-01-2015,9,2773,2015,95620.6896552
513,Denver,9-01-2015,9,506809,2015,17476172.4138
514,Eagle,9-01-2015,9,9342,2015,322137.931034
515,El Paso,9-01-2015,9,205403,2015,7082862.06897
516,Fremont,9-01-2015,9,5479,2015,188931.034483
517,Garfield,9-01-2015,9,13416,2015,462620.689655
518,Gilpin,9-01-2015,9,1158,2015,39931.0344828
519,Jefferson,9-01-2015,9,57101,2015,1969000.0
520,La Plata,9-01-2015,9,13693,2015,472172.413793
521,Larimer,9-01-2015,9,41291,2015,1423827.58621
522,Montezuma,9-01-2015,9,3434,2015,118413.793103
523,Pitkin,9-01-2015,9,1413,2015,48724.137931
524,Pueblo,9-01-2015,9,13700,2015,472413.793103
525,Routt,9-01-2015,9,6078,2015,209586.206897
526,San Miguel,9-01-2015,9,1500,2015,51724.137931
527,Summit,9-01-2015,9,6584,2015,227034.482759
528,Weld,9-01-2015,9,12559,2015,433068.965517
529,Other Counties,9-01-2015,9,18343,2015,632517.241379
530,Adams,9-01-2016,9,12256,2016,422620.689655
531,Arapahoe,9-01-2016,9,52992,2016,1827310.34483
532,Boulder,9-01-2016,9,65768,2016,2267862.06897
533,Clear Creek,9-01-2016,9,3214,2016,110827.586207
534,Denver,9-01-2016,9,551137,2016,19004724.1379
535,Eagle,9-01-2016,9,5870,2016,202413.793103
536,El Paso,9-01-2016,9,240154,2016,8281172.41379
537,Fremont,9-01-2016,9,4616,2016,159172.413793
538,Garfield,9-01-2016,9,10700,2016,368965.517241
539,Jefferson,9-01-2016,9,43541,2016,1501413.7931
540,La Plata,9-01-2016,9,12433,2016,428724.137931
541,Larimer,9-01-2016,9,34856,2016,1201931.03448
542,Montezuma,9-01-2016,9,2491,2016,85896.5517241
543,Pitkin,9-01-2016,9,3682,2016,126965.517241
544,Pueblo,9-01-2016,9,25159,2016,867551.724138
545,San Miguel,9-01-2016,9,1465,2016,50517.2413793
546,Summit,9-01-2016,9,3982,2016,137310.344828
547,Weld,9-01-2016,9,9953,2016,343206.896552
548,Other Counties,9-01-2016,9,25804,2016,889793.103448
549,Adams,10-01-2014,10,13305,2014,458793.103448
550,Arapahoe,10-01-2014,10,30817,2014,1062655.17241
551,Boulder,10-01-2014,10,70690,2014,2437586.2069
552,Clear Creek,10-01-2014,10,2916,2014,100551.724138
553,Denver,10-01-2014,10,480683,2014,16575275.8621
554,Eagle,10-01-2014,10,8584,2014,296000.0
555,El Paso,10-01-2014,10,154894,2014,5341172.41379
556,Fremont,10-01-2014,10,4563,2014,157344.827586
557,Garfield,10-01-2014,10,12527,2014,431965.517241
558,Jefferson,10-01-2014,10,48972,2014,1688689.65517
559,La Plata,10-01-2014,10,15890,2014,547931.034483
560,Larimer,10-01-2014,10,32168,2014,1109241.37931
561,Pitkin,10-01-2014,10,2430,2014,83793.1034483
562,Pueblo,10-01-2014,10,6543,2014,225620.689655
563,San Miguel,10-01-2014,10,1016,2014,35034.4827586
564,Summit,10-01-2014,10,4996,2014,172275.862069
565,Weld,10-01-2014,10,10471,2014,361068.965517
566,Other Counties,10-01-2014,10,26866,2014,926413.793103
567,Adams,10-01-2015,10,10389,2015,358241.37931
568,Arapahoe,10-01-2015,10,55261,2015,1905551.72414
569,Boulder,10-01-2015,10,71686,2015,2471931.03448
570,Clear Creek,10-01-2015,10,-1047,2015,-36103.4482759
571,Denver,10-01-2015,10,341421,2015,11773137.931
572,Eagle,10-01-2015,10,6487,2015,223689.655172
573,El Paso,10-01-2015,10,222834,2015,7683931.03448
574,Fremont,10-01-2015,10,6167,2015,212655.172414
575,Garfield,10-01-2015,10,9933,2015,342517.241379
576,Jefferson,10-01-2015,10,43267,2015,1491965.51724
577,La Plata,10-01-2015,10,11351,2015,391413.793103
578,Larimer,10-01-2015,10,36690,2015,1265172.41379
579,Montezuma,10-01-2015,10,2766,2015,95379.3103448
580,Pitkin,10-01-2015,10,2243,2015,77344.8275862
581,Pueblo,10-01-2015,10,21151,2015,729344.827586
582,Routt,10-01-2015,10,5651,2015,194862.068966
583,San Miguel,10-01-2015,10,1436,2015,49517.2413793
584,Summit,10-01-2015,10,6243,2015,215275.862069
585,Weld,10-01-2015,10,11726,2015,404344.827586
586,Other Counties,10-01-2015,10,13988,2015,482344.827586
587,Adams,10-01-2016,10,11675,2016,402586.206897
588,Arapahoe,10-01-2016,10,27635,2016,952931.034483
589,Boulder,10-01-2016,10,61483,2016,2120103.44828
590,Clear Creek,10-01-2016,10,1948,2016,67172.4137931
591,Denver,10-01-2016,10,464066,2016,16002275.8621
592,Eagle,10-01-2016,10,4361,2016,150379.310345
593,El Paso,10-01-2016,10,241652,2016,8332827.58621
594,Fremont,10-01-2016,10,4448,2016,153379.310345
595,Garfield,10-01-2016,10,13996,2016,482620.689655
596,Jefferson,10-01-2016,10,47826,2016,1649172.41379
597,La Plata,10-01-2016,10,10546,2016,363655.172414
598,Larimer,10-01-2016,10,33250,2016,1146551.72414
599,Montezuma,10-01-2016,10,1727,2016,59551.7241379
600,Pitkin,10-01-2016,10,5249,2016,181000.0
601,Pueblo,10-01-2016,10,18943,2016,653206.896552
602,Routt,10-01-2016,10,5721,2016,197275.862069
603,San Miguel,10-01-2016,10,1135,2016,39137.9310345
604,Summit,10-01-2016,10,4392,2016,151448.275862
605,Weld,10-01-2016,10,6768,2016,233379.310345
606,Other Counties,10-01-2016,10,16178,2016,557862.068966
607,Adams,11-01-2014,11,13462,2014,464206.896552
608,Arapahoe,11-01-2014,11,26638,2014,918551.724138
609,Boulder,11-01-2014,11,64733,2014,2232172.41379
610,Clear Creek,11-01-2014,11,2585,2014,89137.9310345
611,Denver,11-01-2014,11,369967,2014,12757482.7586
612,Eagle,11-01-2014,11,6806,2014,234689.655172
613,El Paso,11-01-2014,11,133682,2014,4609724.13793
614,Fremont,11-01-2014,11,3261,2014,112448.275862
615,Garfield,11-01-2014,11,7911,2014,272793.103448
616,Gunnison,11-01-2014,11,1663,2014,57344.8275862
617,Jefferson,11-01-2014,11,46641,2014,1608310.34483
618,La Plata,11-01-2014,11,12529,2014,432034.482759
619,Larimer,11-01-2014,11,31622,2014,1090413.7931
620,Pitkin,11-01-2014,11,2135,2014,73620.6896552
621,Pueblo,11-01-2014,11,12066,2014,416068.965517
622,San Miguel,11-01-2014,11,532,2014,18344.8275862
623,Summit,11-01-2014,11,4417,2014,152310.344828
624,Weld,11-01-2014,11,8877,2014,306103.448276
625,Other Counties,11-01-2014,11,22944,2014,791172.413793
626,Adams,11-01-2015,11,12531,2015,432103.448276
627,Arapahoe,11-01-2015,11,29363,2015,1012517.24138
628,Boulder,11-01-2015,11,65739,2015,2266862.06897
629,Clear Creek,11-01-2015,11,1918,2015,66137.9310345
630,Denver,11-01-2015,11,349026,2015,12035379.3103
631,Eagle,11-01-2015,11,7829,2015,269965.517241
632,El Paso,11-01-2015,11,195651,2015,6746586.2069
633,Fremont,11-01-2015,11,2993,2015,103206.896552
634,Garfield,11-01-2015,11,12323,2015,424931.034483
635,Jefferson,11-01-2015,11,51412,2015,1772827.58621
636,La Plata,11-01-2015,11,9334,2015,321862.068966
637,Larimer,11-01-2015,11,33789,2015,1165137.93103
638,Montezuma,11-01-2015,11,2621,2015,90379.3103448
639,Pitkin,11-01-2015,11,2216,2015,76413.7931034
640,Pueblo,11-01-2015,11,13094,2015,451517.241379
641,Routt,11-01-2015,11,5123,2015,176655.172414
642,San Miguel,11-01-2015,11,1117,2015,38517.2413793
643,Summit,11-01-2015,11,6045,2015,208448.275862
644,Weld,11-01-2015,11,10147,2015,349896.551724
645,Other Counties,11-01-2015,11,17773,2015,612862.068966
646,Adams,12-01-2014,12,13187,2014,454724.137931
647,Arapahoe,12-01-2014,12,35071,2014,1209344.82759
648,Boulder,12-01-2014,12,70604,2014,2434620.68966
649,Clear Creek,12-01-2014,12,2331,2014,80379.3103448
650,Denver,12-01-2014,12,408178,2014,14075103.4483
651,Eagle,12-01-2014,12,7794,2014,268758.62069
652,El Paso,12-01-2014,12,169625,2014,5849137.93103
653,Fremont,12-01-2014,12,5735,2014,197758.62069
654,Garfield,12-01-2014,12,8249,2014,284448.275862
655,Gilpin,12-01-2014,12,922,2014,31793.1034483
656,Gunnison,12-01-2014,12,-350,2014,-12068.9655172
657,Jefferson,12-01-2014,12,51671,2014,1781758.62069
658,La Plata,12-01-2014,12,14932,2014,514896.551724
659,Larimer,12-01-2014,12,33837,2014,1166793.10345
660,Montezuma,12-01-2014,12,3276,2014,112965.517241
661,Pitkin,12-01-2014,12,2321,2014,80034.4827586
662,Pueblo,12-01-2014,12,17165,2014,591896.551724
663,Route,12-01-2014,12,4961,2014,171068.965517
664,San Miguel,12-01-2014,12,1559,2014,53758.6206897
665,Summit,12-01-2014,12,7089,2014,244448.275862
666,Weld,12-01-2014,12,13850,2014,477586.206897
667,Other Counties,12-01-2014,12,17241,2014,594517.241379
668,Adams,12-01-2015,12,13326,2015,459517.241379
669,Arapahoe,12-01-2015,12,57608,2015,1986482.75862
670,Boulder,12-01-2015,12,78352,2015,2701793.10345
671,Clear Creek,12-01-2015,12,1654,2015,57034.4827586
672,Denver,12-01-2015,12,532545,2015,18363620.6897
673,Eagle,12-01-2015,12,8601,2015,296586.206897
674,El Paso,12-01-2015,12,221779,2015,7647551.72414
675,Fremont,12-01-2015,12,5619,2015,193758.62069
676,Garfield,12-01-2015,12,10258,2015,353724.137931
677,Jefferson,12-01-2015,12,52363,2015,1805620.68966
678,La Plata,12-01-2015,12,10374,2015,357724.137931
679,Larimer,12-01-2015,12,38714,2015,1334965.51724
680,Montezuma,12-01-2015,12,2522,2015,86965.5172414
681,Pitkin,12-01-2015,12,2269,2015,78241.3793103
682,Pueblo,12-01-2015,12,16292,2015,561793.103448
683,Routt,12-01-2015,12,5707,2015,196793.103448
684,San Miguel,12-01-2015,12,1285,2015,44310.3448276
685,Summit,12-01-2015,12,6563,2015,226310.344828
686,Weld,12-01-2015,12,10788,2015,372000.0
687,Other Counties,12-01-2015,12,20609,2015,710655.172414
